X,y
-0.003599999938160181,0.0
-73.80415344238281,
198.20596313476562,
0.0,
-13.124616622924805,
-1.1500999927520752,
0.0,
-0.14163333177566528,
179.2493896484375,
114.66116333007812,
-80.73670196533203,
130.6593475341797,
162.64984130859375,
77.79033660888672,
-9.828700065612793,
-0.07639999687671661,
-3.6396334171295166,
-111.37183380126953,
-47.043785095214844,
118.66134643554688,
203.8174285888672,
0.0,
-9.876433372497559,
109.0286636352539,
186.05718994140625,
-65.99446868896484,
-0.01218333374708891,
96.04718017578125,
-0.11219999939203262,
-0.022183332592248917,
-3.640049934387207,
-0.08298332989215851,
165.67147827148438,
147.40020751953125,
-44.20636749267578,
-0.18931666016578674,
-0.035216666758060455,
0.0,
-12.3903169631958,
-0.29616665840148926,
-0.5259833335876465,
-6.6391167640686035,
-16.82761573791504,
-27.876380920410156,
-0.24203333258628845,
-50.962249755859375,
-21.13323402404785,
-21.734466552734375,
-31.50040054321289,
-1.8979666233062744,
-0.3360166549682617,
158.36146545410156,
-0.01928333379328251,
-0.010833333246409893,
-0.843666672706604,
-0.12013333290815353,
-0.8202999830245972,
-87.70641326904297,
-13.123550415039062,
147.49160766601562,
-0.0005333333392627537,
0.0,
-0.0182499997317791,
-1.20211660861969,
-16.29581642150879,
-96.966552734375,
179.36776733398438,
104.78375244140625,
-10.49804973602295,
-12.030916213989258,
-0.0006333333440124989,
-86.86730194091797,
0.0,
-85.42555236816406,
-34.504817962646484,
-64.0782699584961,
-0.8668000102043152,
142.2124481201172,
0.0,
-37.10272979736328,
-5.721583366394043,
19.974197387695312,
-0.4661833345890045,
-3.16213321685791,
-36.575035095214844,
-15.392716407775879,
0.0,
-0.0007833333220332861,
0.0,
-0.03126666694879532,
188.05564880371094,
-0.10766666382551193,
-4.469966888427734,
158.38140869140625,
-137.1006317138672,
27.13141632080078,
-2.2746334075927734,
-0.0006500000017695129,
-12.351266860961914,
0.0,
